yr,mo,mrfuzzy_rev,mrfuzzy_marg,lovebear_rev,lovebear_marg,birthdaybear_rev,birthdaybear_marg,minibear_rev,minibear_marg,total_revenue,total_margin
2012,3,2999.40,1830.00,NULL,NULL,NULL,NULL,NULL,NULL,2999.40,1830.00
2012,4,4949.01,3019.50,NULL,NULL,NULL,NULL,NULL,NULL,4949.01,3019.50
2012,5,5398.92,3294.00,NULL,NULL,NULL,NULL,NULL,NULL,5398.92,3294.00
2012,6,6998.60,4270.00,NULL,NULL,NULL,NULL,NULL,NULL,6998.60,4270.00
2012,7,8448.31,5154.50,NULL,NULL,NULL,NULL,NULL,NULL,8448.31,5154.50
2012,8,11397.72,6954.00,NULL,NULL,NULL,NULL,NULL,NULL,11397.72,6954.00
2012,9,14347.13,8753.50,NULL,NULL,NULL,NULL,NULL,NULL,14347.13,8753.50
2012,10,18546.29,11315.50,NULL,NULL,NULL,NULL,NULL,NULL,18546.29,11315.50
2012,11,30893.82,18849.00,NULL,NULL,NULL,NULL,NULL,NULL,30893.82,18849.00
2012,12,25294.94,15433.00,NULL,NULL,NULL,NULL,NULL,NULL,25294.94,15433.00
2013,1,17146.57,10461.50,2819.53,1762.50,NULL,NULL,NULL,NULL,19966.10,12224.00
2013,2,16796.64,10248.00,9718.38,6075.00,NULL,NULL,NULL,NULL,26515.02,16323.00
2013,3,15996.80,9760.00,3899.35,2437.50,NULL,NULL,NULL,NULL,19896.15,12197.50
2013,4,22945.41,13999.50,5639.06,3525.00,NULL,NULL,NULL,NULL,28584.47,17524.50
2013,5,24445.11,14914.50,4919.18,3075.00,NULL,NULL,NULL,NULL,29364.29,17989.50
2013,6,25144.97,15341.50,5399.10,3375.00,NULL,NULL,NULL,NULL,30544.07,18716.50
2013,7,25444.91,15524.50,5699.05,3562.50,NULL,NULL,NULL,NULL,31143.96,19087.00
2013,8,25494.90,15555.00,5879.02,3675.00,NULL,NULL,NULL,NULL,31373.92,19230.00
2013,9,26844.63,16378.50,5879.02,3675.00,NULL,NULL,NULL,NULL,32723.65,20053.50
2013,10,30143.97,18391.50,8098.65,5062.50,NULL,NULL,NULL,NULL,38242.62,23454.00
2013,11,36192.76,22082.00,10438.26,6525.00,NULL,NULL,NULL,NULL,46631.02,28607.00
2013,12,40891.82,24949.00,10978.17,6862.50,6392.61,4378.50,NULL,NULL,58262.60,36190.00
2014,1,36392.72,22204.00,10978.17,6862.50,9198.00,6300.00,NULL,NULL,56568.89,35366.50
2014,2,29194.16,17812.00,21056.49,13162.50,9703.89,6646.50,6057.98,4141.00,66012.52,41762.00
2014,3,39242.15,23942.50,11578.07,7237.50,11221.56,7686.00,6147.95,4202.50,68189.73,43068.50
2014,4,45840.83,27968.50,12837.86,8025.00,12279.33,8410.50,7767.41,5309.50,78725.43,49713.50
2014,5,51489.70,31415.00,14757.54,9225.00,13751.01,9418.50,8937.02,6109.00,88935.27,56167.50
2014,6,44641.07,27236.50,14697.55,9187.50,13245.12,9072.00,7467.51,5104.50,80051.25,50600.50
2014,7,48040.39,29310.50,14637.56,9150.00,12693.24,8694.00,7917.36,5412.00,83288.55,52566.50
2014,8,47890.42,29219.00,14217.63,8887.50,13521.06,9261.00,9086.97,6211.50,84716.08,53579.00
2014,9,52789.44,32208.00,15057.49,9412.50,14578.83,9985.50,9806.73,6703.50,92232.49,58309.50
2014,10,58638.27,35776.50,17037.16,10650.00,16924.32,11592.00,11306.23,7728.50,103905.98,65747.00
2014,11,72535.49,44255.50,22616.23,14137.50,19545.75,13387.50,13465.51,9204.50,128162.98,80985.00
2014,12,79184.16,48312.00,23216.13,14512.50,24788.61,16978.50,17634.12,12054.00,144823.02,91857.00
2015,1,69586.08,42456.00,23636.06,14775.00,20695.50,14175.00,18293.90,12505.00,132211.54,83911.00
2015,2,55638.87,33946.50,38633.56,24150.00,18625.95,12757.50,16314.56,11152.00,129212.94,82006.00
2015,3,43191.36,26352.00,13377.77,8362.50,12095.37,8284.50,10286.57,7031.50,78951.07,50030.50
